Total companii: 967
ticker | nume_complet | bursa
ENPO.WA^B11 | ENERGOMONTAZ - POLNOC SA | Warsaw Stock Exchange
ENPP.WA | Energoaparatura SA | Warsaw Stock Exchange
ENTP.WA | Enter Air SA | Warsaw Stock Exchange
EPDP.WA^E14 | Energomontaz-Poludnie SA w upadlosci likwidacyjnej | Warsaw Stock Exchange
EQU.WA | Equnico Se | Warsaw Stock Exchange
ERB.WA | Erbud SA | Warsaw Stock Exchange
ERBOS.IS | Erbosan Erciyas Boru Sanayii ve Ticaret AS | Istanbul Stock Exchange
EREGL.IS | Eregli Demir ve Celik Fabrikalari TAS | Istanbul Stock Exchange
ERGA.WA | ERG SA | Warsaw Stock Exchange
ERPP.WA^J12 | Towarzystwo Ubezpieczen Europa SA | Warsaw Stock Exchange
ERST.PR | Erste Group Bank AG | Prague Stock Exchange
ESEN.IS | Esenboga Elektrik Uretim AS | Istanbul Stock Exchange
ESSP.WA^D20 | Glamox Sp z o o | Warsaw Stock Exchange
ESTP.WA | ENEFI Vagyonkezelo Nyrt | Warsaw Stock Exchange
EUC.WA | Europejskie Centrum Odszkodowan SA | Warsaw Stock Exchange
EUI.WA^D15 | Euroimplant SA w upadlosci likwidacyjnej | Warsaw Stock Exchange
EUPWR.IS | Europower Enerji ve Otomasyon Teknolojileri Sanayi Ticaret AS | Istanbul Stock Exchange
EUR.WA | Eurocash SA | Warsaw Stock Exchange
EUREN.IS | Europen Endustri Insaat Sanayi ve Ticaret AS | Istanbul Stock Exchange
EURTL.WA | Eurotel SA | Warsaw Stock Exchange
EXLE.WA^A18 | Exillon Energy Ltd | Warsaw Stock Exchange
FAB1.WA | Fabrity SA | Warsaw Stock Exchange
FAM.WA^B18 | Fam SA | Warsaw Stock Exchange
FCLP.WA^F17 | Farmacol SA | Warsaw Stock Exchange
FEEP.WA | Feerum SA | Warsaw Stock Exchange
FEG.WA^F18 | Fortuna Entertainment Group NV | Warsaw Stock Exchange
FENER.IS | Fenerbahce Futbol AS | Istanbul Stock Exchange
FERR.WA^A25 | Ferrum SA | Warsaw Stock Exchange
FFIP.WA | Fast Finance SA | Warsaw Stock Exchange
FGTP.WA^E21 | Fenghua SoleTech AG | Warsaw Stock Exchange
FHBP.WA | Foodhub SA | Warsaw Stock Exchange
FLAP.IS | Flap Kongre Toplanti Hizmetleri Otomotiv ve Turizm AS | Istanbul Stock Exchange
FMGP.WA | Wise Energy SA | Warsaw Stock Exchange
FONP.WA | Fon SE | Warsaw Stock Exchange
FORE.PR^F18 | Fortuna Entertainment Group NV | Prague Stock Exchange
FORTS.IS^B11 | Fortis Bank AS | Istanbul Stock Exchange
FOT.WA^A18 | Fota SA w upadlosci likwidacyjnej | Warsaw Stock Exchange
FOTH.BU^C12 | Fotex Holding SE | Budapest Stock Exchange
FP.BX | Fondul Proprietatea SA | The Bucharest Stock Exchange
FROP.WA | Ferro SA | Warsaw Stock Exchange
